date,n1,n2,n3,n4,n5,millionaire_ball
2026-02-22,1,30,48,54,58,4
2026-02-23,11,18,21,25,55,1
2026-02-24,12,15,33,46,53,5
2026-02-25,1,33,35,39,55,3
2026-02-26,3,14,22,50,57,4
2026-02-27,3,4,13,28,42,2
2026-02-28,13,20,28,44,48,4
2026-03-01,10,11,12,35,56,4
2026-03-02,28,41,42,50,55,2
2026-03-03,9,10,13,25,54,5
2026-03-04,12,13,36,39,58,3
2026-03-05,17,20,23,30,33,5
2026-03-06,4,10,29,48,50,3
2026-03-07,10,32,45,53,54,2
2026-03-08,1,31,32,45,52,5
2026-03-09,6,16,26,41,43,3
2026-03-10,3,27,43,45,49,4
2026-03-11,1,2,3,19,38,4
2026-03-12,10,24,37,49,54,5
2026-03-13,3,29,44,50,57,3
2026-03-14,18,27,31,32,56,1
2026-03-15,1,21,29,46,50,1
2026-03-16,2,16,30,41,49,4
2026-03-17,3,4,9,48,55,2
2026-03-18,4,16,21,33,35,1
2026-03-19,7,35,55,56,57,4
2026-03-20,15,19,31,37,55,4
2026-03-21,18,44,54,55,58,2
2026-03-22,7,8,17,18,55,2
2026-03-23,1,14,19,29,35,3
2026-03-24,15,19,43,54,56,4
2026-03-25,1,26,40,46,50,3
2026-03-26,1,8,18,39,47,1
2026-03-27,6,9,28,33,46,4
2026-03-28,12,14,17,22,55,4
2026-03-29,11,17,18,43,53,5
2026-03-30,24,25,32,34,44,4
2026-03-31,9,18,23,34,38,3
2026-04-01,1,4,27,31,44,1
2026-04-02,7,18,38,46,55,4
2026-04-03,8,16,37,45,53,3
2026-04-04,20,30,31,38,49,5
2026-04-05,1,19,21,22,54,2
2026-04-06,15,26,27,51,56,1
2026-04-07,2,9,29,41,57,3
2026-04-08,6,8,25,56,58,1
2026-04-09,17,34,45,47,56,4
2026-04-10,13,20,26,32,54,1
2026-04-11,15,19,24,38,55,5
2026-04-12,2,14,32,51,57,4
2026-04-13,2,13,15,35,41,2
2026-04-14,10,19,31,42,53,4
2026-04-15,32,36,41,54,58,3
2026-04-16,1,2,31,47,57,4
2026-04-17,2,17,40,50,57,5
2026-04-18,17,19,47,48,55,4
2026-04-19,32,42,52,53,55,5
2026-04-20,19,37,40,41,53,2
2026-04-21,1,4,40,47,58,4
2026-04-22,17,26,43,44,53,5
2026-04-23,1,25,37,47,53,4
2026-04-24,12,26,28,29,47,4
2026-04-25,3,22,26,44,47,2
2026-04-26,2,3,6,17,56,3
2026-04-27,4,15,19,21,31,4
2026-04-28,11,21,34,39,45,5
2026-04-29,5,10,17,21,42,2
2026-04-30,5,19,21,42,55,3
2026-05-01,17,24,26,28,55,4
2026-05-02,6,17,31,42,50,2
2026-05-03,5,8,15,32,51,3
2026-05-04,8,17,22,34,39,5
2026-05-05,14,20,23,30,55,2
2026-05-06,6,18,30,32,43,1
2026-05-07,5,8,21,44,48,1
2026-05-08,14,16,21,43,51,3
2026-05-09,8,11,17,29,49,2
2026-05-10,1,3,20,35,46,5
2026-05-11,42,45,46,48,56,3
2026-05-12,19,21,35,38,53,1
2026-05-13,21,24,29,42,49,1
2026-05-14,12,32,36,37,40,2
2026-05-15,7,8,27,29,30,2
2026-05-16,7,17,24,38,45,4
2026-05-17,11,23,41,45,55,1
2026-05-18,1,5,20,29,34,2
2026-05-19,5,6,42,44,47,3
2026-05-20,14,23,27,44,50,4
2026-05-21,3,15,16,24,28,4
2026-05-22,17,33,36,54,57,1
2026-05-23,15,20,30,45,49,3
2026-05-24,1,30,31,46,55,2
2026-05-25,7,23,29,38,51,3
2026-05-26,18,30,39,52,56,1
2026-05-27,3,4,30,40,46,2
2026-05-28,9,15,24,30,57,1
2026-05-29,9,25,33,35,42,2
2026-05-30,5,14,22,28,30,1
2026-05-31,3,11,26,45,56,5
2026-06-01,12,15,21,43,50,2
2026-06-02,16,33,41,50,52,1
2026-06-03,4,13,32,51,55,4
2026-06-04,6,13,19,28,34,5
2026-06-05,6,38,51,54,55,5
2026-06-06,3,13,18,35,48,4
2026-06-07,2,18,29,32,51,2
2026-06-08,20,25,40,50,55,1
2026-06-09,23,25,33,35,50,5
2026-06-10,9,20,25,31,39,4
2026-06-11,18,19,25,31,37,2
2026-06-12,6,13,22,35,36,1
2026-06-13,3,5,11,13,49,1
2026-06-14,3,6,16,18,48,1
2026-06-15,12,14,20,54,58,4
2026-06-16,1,13,21,40,57,1
2026-06-17,2,4,7,16,21,3
2026-06-18,15,17,32,53,58,5
2026-06-19,2,20,28,51,54,2
2026-06-20,1,10,16,30,31,4
2026-06-21,2,6,7,13,37,2
2026-06-22,7,8,20,24,42,5
2026-06-23,6,17,34,39,57,5
2026-06-24,3,4,10,36,37,5
2026-06-25,3,13,14,34,45,1
2026-06-26,7,15,33,37,51,2
2026-06-27,26,32,38,51,52,5
2026-06-28,4,11,31,54,58,3
2026-06-29,4,25,26,31,36,4
2026-06-30,1,4,9,45,54,2
2026-07-01,23,25,29,36,48,4
2026-07-02,13,21,25,37,47,1
2026-07-03,7,8,24,42,47,3
2026-07-04,17,20,37,40,43,4
2026-07-05,8,40,41,46,51,1
2026-07-06,2,8,32,54,56,3
2026-07-07,27,43,48,49,50,2
2026-07-08,16,18,43,48,50,1
2026-07-09,2,15,22,54,58,4
2026-07-10,14,42,46,47,57,5
2026-07-11,4,13,14,30,39,4
2026-07-12,12,21,39,46,48,2
2026-07-13,19,36,38,43,48,3
2026-07-14,12,13,15,16,41,2
2026-07-15,1,5,18,23,33,5
2026-07-16,9,21,29,52,57,5
2026-07-17,3,19,38,48,58,1
2026-07-18,18,23,28,32,49,3
2026-07-19,6,22,35,40,52,4
2026-07-20,3,20,23,24,44,1
